                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6317,                 2.8918,                 1.4756,                0.25783,                  0.065,                0.05514,                 0.0186,                 1.8973,                 3.9572,                 1.7153,             0.00065833,             0.00065833,             0.00065833
                      2,                 1.6601,                 2.1834,                 1.5192,                0.27654,                 0.3175,                0.18056,                0.07767,                 1.8839,                 4.8892,                 1.8793,              0.0013168,              0.0013168,              0.0013168
                      3,                 1.7323,                 1.9679,                 1.5681,                0.07936,                0.11788,                 0.0351,                0.01226,                 2.7102,                 5.2614,                 2.6076,               0.001967,               0.001967,               0.001967
                      4,                  1.706,                  1.829,                 1.5443,                0.46901,                   0.41,                0.39671,                0.17887,                 1.7992,                 2.1294,                 1.6021,              0.0019629,              0.0019629,              0.0019629
                      5,                 1.6689,                 1.7236,                 1.5033,                0.54792,                   0.51,                 0.4978,                0.25964,                 1.6819,                 1.7737,                 1.5218,              0.0019629,              0.0019629,              0.0019629
                      6,                 1.6276,                 1.6632,                 1.4763,                0.51783,                 0.4975,                0.49848,                0.26517,                 1.6739,                 1.7281,                 1.5458,              0.0019505,              0.0019505,              0.0019505
                      7,                  1.606,                 1.5967,                 1.4623,                0.62349,                   0.53,                0.53695,                0.28205,                 1.6398,                 1.8047,                  1.508,              0.0019381,              0.0019381,              0.0019381
                      8,                 1.5991,                 1.5663,                 1.4502,                0.61152,                    0.5,                0.53409,                0.29665,                 1.5892,                 1.6476,                 1.4538,              0.0019258,              0.0019258,              0.0019258
                      9,                 1.5397,                 1.5075,                 1.4423,                0.58608,                0.56638,                0.56582,                0.31414,                  1.547,                 1.6976,                 1.5083,              0.0019134,              0.0019134,              0.0019134
                     10,                 1.5582,                 1.5215,                 1.4376,                0.59614,                   0.55,                0.56849,                0.31996,                 1.5331,                 1.5852,                 1.4587,               0.001901,               0.001901,               0.001901
                     11,                  1.509,                 1.4449,                 1.4002,                0.51607,                0.56253,                0.50329,                0.28438,                 1.5588,                 1.6136,                 1.4217,              0.0018886,              0.0018886,              0.0018886
                     12,                 1.5229,                  1.438,                 1.3977,                0.63915,                0.57566,                0.59015,                0.33547,                 1.5014,                 1.5641,                 1.3738,              0.0018763,              0.0018763,              0.0018763
                     13,                 1.5181,                 1.4194,                 1.4058,                0.56214,                   0.55,                0.54045,                0.29081,                 1.6174,                 1.6174,                 1.5017,              0.0018639,              0.0018639,              0.0018639
                     14,                 1.5041,                 1.4047,                 1.3876,                 0.6376,                0.58059,                0.62413,                0.34218,                 1.5323,                 1.4091,                 1.4137,              0.0018515,              0.0018515,              0.0018515
                     15,                 1.4663,                 1.3633,                 1.3686,                 0.6032,                 0.5875,                0.60903,                0.35471,                 1.5017,                 1.4776,                 1.4185,              0.0018391,              0.0018391,              0.0018391
                     16,                 1.4452,                 1.3249,                 1.3565,                0.65762,                  0.605,                 0.6189,                0.36383,                 1.4211,                 1.4148,                 1.3306,              0.0018267,              0.0018267,              0.0018267
                     17,                 1.4589,                 1.3731,                 1.3661,                0.68206,                0.57921,                0.62953,                0.38286,                 1.4237,                 1.3583,                 1.3631,              0.0018144,              0.0018144,              0.0018144
                     18,                 1.4524,                 1.3535,                 1.3574,                0.61592,                0.64948,                0.64328,                0.38399,                 1.4468,                 1.3274,                 1.3807,               0.001802,               0.001802,               0.001802
                     19,                 1.4326,                 1.2897,                 1.3412,                0.65464,                0.66342,                0.67122,                0.40533,                 1.3965,                 1.2792,                 1.3404,              0.0017896,              0.0017896,              0.0017896
                     20,                 1.4224,                 1.2708,                 1.3396,                0.67631,                  0.605,                 0.6569,                 0.4071,                  1.387,                 1.3235,                 1.3387,              0.0017772,              0.0017772,              0.0017772
                     21,                 1.4054,                 1.2819,                 1.3257,                0.64859,                 0.6225,                0.65792,                0.36819,                 1.4735,                 1.3218,                 1.3743,              0.0017649,              0.0017649,              0.0017649
