                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6252,                 2.8969,                 1.4766,                0.40052,                0.09187,                0.15854,                0.07361,                 1.7458,                 3.4566,                 1.5273,             0.00065833,             0.00065833,             0.00065833
                      2,                 1.6406,                 2.1872,                 1.4902,                0.16131,                   0.29,                0.14578,                0.07038,                 1.8326,                 3.3376,                   1.79,              0.0013198,              0.0013198,              0.0013198
                      3,                 1.7427,                 1.9783,                 1.5554,                0.48068,                   0.38,                0.35445,                0.16015,                 1.9614,                 3.0092,                 1.8205,              0.0019759,              0.0019759,              0.0019759
                      4,                 1.7106,                 1.8112,                 1.5324,                0.51936,                  0.445,                0.41653,                0.18871,                 1.8009,                 1.9011,                 1.6469,              0.0019762,              0.0019762,              0.0019762
                      5,                 1.6529,                 1.6835,                 1.4955,                0.46048,                   0.52,                0.46104,                0.22249,                 1.8081,                 1.7751,                 1.5045,              0.0019683,              0.0019683,              0.0019683
                      6,                 1.6275,                 1.6462,                 1.4752,                0.52542,                  0.525,                0.51673,                0.27857,                 1.6072,                 1.6618,                 1.5175,              0.0019604,              0.0019604,              0.0019604
                      7,                 1.5908,                 1.5747,                 1.4743,                0.64131,                  0.565,                0.57476,                0.31442,                 1.5577,                 1.6643,                  1.481,              0.0019525,              0.0019525,              0.0019525
                      8,                 1.5889,                 1.5421,                 1.4444,                0.49675,                0.46146,                0.45757,                0.23581,                 1.6982,                 1.7969,                 1.5753,              0.0019446,              0.0019446,              0.0019446
                      9,                 1.5572,                  1.502,                 1.4368,                0.61116,                0.57761,                 0.5806,                0.33261,                 1.5014,                 1.5123,                  1.411,              0.0019366,              0.0019366,              0.0019366
                     10,                 1.5391,                 1.4948,                 1.4301,                0.58707,                0.56514,                0.56976,                0.29743,                   1.54,                 1.5586,                 1.4459,              0.0019287,              0.0019287,              0.0019287
                     11,                 1.5204,                 1.4205,                 1.4059,                0.62935,                0.57731,                0.57125,                0.30079,                 1.6452,                 1.4892,                 1.4962,              0.0019208,              0.0019208,              0.0019208
                     12,                 1.5096,                 1.4205,                 1.3869,                0.68243,                 0.5775,                0.63831,                0.36169,                 1.5238,                 1.4086,                 1.3953,              0.0019129,              0.0019129,              0.0019129
                     13,                 1.5368,                 1.4535,                 1.4147,                0.59378,                0.58104,                0.58317,                0.31588,                  1.544,                 1.5774,                 1.4637,               0.001905,               0.001905,               0.001905
                     14,                 1.4944,                   1.42,                 1.3873,                  0.637,                  0.615,                0.63634,                0.34577,                 1.5734,                  1.383,                 1.4379,               0.001897,               0.001897,               0.001897
                     15,                 1.4654,                 1.3835,                  1.356,                0.68967,                   0.61,                0.66641,                0.38894,                 1.4298,                 1.3562,                 1.3435,              0.0018891,              0.0018891,              0.0018891
                     16,                 1.4462,                 1.3301,                 1.3487,                0.66926,                 0.5475,                0.59969,                 0.3378,                 1.5349,                 1.4758,                 1.4062,              0.0018812,              0.0018812,              0.0018812
                     17,                 1.4532,                  1.343,                 1.3692,                0.70413,                 0.6175,                0.66401,                0.40741,                  1.406,                 1.3199,                 1.3347,              0.0018733,              0.0018733,              0.0018733
                     18,                 1.4539,                 1.3269,                 1.3477,                0.67254,                 0.5956,                0.63382,                0.37253,                 1.4759,                 1.4226,                 1.3929,              0.0018654,              0.0018654,              0.0018654
                     19,                 1.4476,                 1.3012,                 1.3415,                 0.6815,                   0.64,                0.67221,                0.40879,                 1.3884,                 1.2804,                 1.3479,              0.0018574,              0.0018574,              0.0018574
                     20,                  1.416,                 1.2854,                  1.341,                0.63419,                 0.6175,                0.66478,                0.40562,                 1.3783,                 1.2925,                 1.3013,              0.0018495,              0.0018495,              0.0018495
                     21,                 1.4411,                 1.2995,                   1.35,                0.67506,                  0.655,                0.69284,                0.40124,                 1.4241,                 1.2844,                 1.3683,              0.0018416,              0.0018416,              0.0018416
                     22,                 1.4061,                 1.2784,                 1.3284,                0.68499,                0.65235,                0.69656,                0.43126,                 1.3692,                 1.2001,                 1.2914,              0.0018337,              0.0018337,              0.0018337
                     23,                 1.4091,                 1.2813,                 1.3305,                0.66952,                 0.6775,                0.69563,                0.42214,                 1.3565,                 1.2694,                 1.3023,              0.0018258,              0.0018258,              0.0018258
                     24,                 1.4186,                 1.2634,                 1.3314,                 0.7236,                0.64139,                0.68916,                0.41598,                 1.4006,                 1.2334,                 1.3424,              0.0018178,              0.0018178,              0.0018178
                     25,                 1.4155,                 1.2353,                 1.3233,                0.68626,                 0.6625,                0.70565,                0.43023,                 1.3536,                 1.1571,                 1.2994,              0.0018099,              0.0018099,              0.0018099
                     26,                 1.3815,                 1.1947,                 1.3103,                0.72826,                0.66329,                0.72566,                0.45137,                 1.3377,                 1.1254,                 1.2782,               0.001802,               0.001802,               0.001802
                     27,                 1.3685,                 1.1906,                 1.3072,                0.77876,                 0.6725,                  0.749,                 0.4653,                  1.331,                 1.0768,                 1.2959,              0.0017941,              0.0017941,              0.0017941
                     28,                 1.3803,                 1.1667,                 1.3095,                0.72751,                 0.6725,                0.72271,                0.44641,                 1.3426,                 1.1775,                 1.2879,              0.0017862,              0.0017862,              0.0017862
                     29,                 1.3576,                 1.1879,                 1.2957,                 0.6636,                 0.6175,                0.65276,                0.39064,                 1.4086,                 1.3112,                 1.3762,              0.0017782,              0.0017782,              0.0017782
                     30,                 1.3515,                 1.1775,                 1.2909,                0.76982,                0.66888,                0.75845,                0.46097,                 1.3429,                 1.0803,                 1.2932,              0.0017703,              0.0017703,              0.0017703
                     31,                 1.3819,                 1.1868,                 1.3005,                0.73866,                0.69247,                0.73434,                0.46107,                 1.2974,                 1.1371,                 1.2542,              0.0017624,              0.0017624,              0.0017624
                     32,                 1.3515,                 1.1455,                 1.2873,                0.74936,                   0.69,                0.76118,                0.48649,                 1.2641,                 1.1445,                 1.2322,              0.0017545,              0.0017545,              0.0017545
                     33,                 1.3169,                 1.1176,                 1.2639,                0.69573,                    0.7,                0.74461,                0.45597,                 1.3135,                 1.1046,                 1.2663,              0.0017466,              0.0017466,              0.0017466
                     34,                 1.3539,                 1.1526,                 1.2889,                0.67132,                 0.7275,                0.73957,                0.47385,                 1.2805,                 1.0749,                  1.283,              0.0017386,              0.0017386,              0.0017386
                     35,                 1.3069,                  1.107,                 1.2533,                0.76614,                 0.6975,                0.76636,                0.50387,                 1.2387,                 1.0242,                 1.2398,              0.0017307,              0.0017307,              0.0017307
                     36,                 1.3094,                 1.1048,                  1.265,                0.74554,                0.72514,                 0.7705,                0.48925,                 1.2757,                 1.0777,                 1.2533,              0.0017228,              0.0017228,              0.0017228
                     37,                 1.3086,                 1.0793,                 1.2606,                0.74131,                 0.7525,                0.77041,                0.49631,                 1.2629,                 1.0292,                 1.2493,              0.0017149,              0.0017149,              0.0017149
                     38,                 1.3257,                 1.1154,                 1.2706,                0.74139,                0.72388,                 0.7804,                0.51257,                 1.2217,                 1.0168,                 1.2028,               0.001707,               0.001707,               0.001707
                     39,                 1.3147,                 1.0966,                 1.2693,                0.75559,                 0.7125,                 0.7825,                0.51712,                 1.1962,                 0.9997,                 1.1916,               0.001699,               0.001699,               0.001699
                     40,                 1.2994,                 1.0776,                 1.2457,                 0.7346,                   0.79,                0.79096,                 0.5222,                 1.2071,                0.96527,                 1.2085,              0.0016911,              0.0016911,              0.0016911
